citizen_id,name,age,income,state,area,category,aadhaar_number,phone_number
C1000,Kai Varughese,62,111180,Rajasthan,Rural,Unemployed,796674961001,1881467750
C1001,Kiaan Johal,51,158588,Kerala,Rural,Laborer,179490382399,+913025129807
C1002,Amaira Ben,47,131357,Karnataka,Urban,Homemaker,604936605400,+912887814689
C1003,Suhani Iyer,67,352280,Karnataka,Urban,Small Business,445980384223,+911720825970
C1004,Oni Mallick,55,373706,Maharashtra,Urban,Laborer,867388838601,03094871152
C1005,Jagat Reddy,40,340677,Kerala,Urban,Professional,538849431936,03360761535
C1006,Jagvi Roy,78,233633,Tamil Nadu,Urban,Unemployed,193982825393,+918971163751
C1007,Triya Kala,32,129443,Tamil Nadu,Rural,Professional,532390950717,06531239644
C1008,Aahana Jha,41,408792,Punjab,Urban,Unemployed,994242338287,+919955243640
C1009,Gayathri Anne,30,410145,West Bengal,Urban,Homemaker,299156662643,03773134426
C1010,Adweta Wagle,43,282998,West Bengal,Rural,Farmer,693987124429,8653305315
C1011,Gaurika Krishnan,40,442907,Maharashtra,Urban,Senior Citizen,439612873869,02944570080
C1012,Ishaan Sagar,18,479509,Uttar Pradesh,Urban,Senior Citizen,817149844042,01467340557
C1013,Januja Dhawan,74,68695,Gujarat,Rural,Student,253119802242,09645244000
C1014,Madhavi Dey,40,105915,Karnataka,Urban,Homemaker,895697608886,+913578139584
C1015,Samarth Bajwa,58,385801,West Bengal,Rural,Homemaker,567070246770,07738640211
C1016,Oni Nanda,51,243459,Bihar,Rural,Homemaker,598200846361,03399494602
C1017,Robert Dalal,26,407313,Karnataka,Rural,Senior Citizen,542388846249,7802149276
C1018,Amaira Mukhopadhyay,72,318048,Gujarat,Rural,Senior Citizen,729330481338,9105924478
C1019,Upkaar Kade,72,108616,Uttar Pradesh,Urban,Student,601502385953,06021449836
C1020,Leela Sane,19,69491,Gujarat,Urban,Homemaker,404020792317,9436638784
C1021,Irya Rana,34,154677,Maharashtra,Rural,Small Business,179069539866,05718726165
C1022,Victor Bala,71,452473,Rajasthan,Rural,Homemaker,199117787036,07823959279
C1023,Shaurya Contractor,27,376966,Karnataka,Urban,Senior Citizen,917798240441,+910427959614
C1024,Anita Sule,18,448068,West Bengal,Rural,Senior Citizen,623262784738,+912598359089
C1025,Prisha Bala,33,221572,Tamil Nadu,Rural,Small Business,831507602140,7044977390
C1026,Niharika Memon,32,468689,Punjab,Urban,Professional,693399748567,+918855072179
C1027,Yasti Verma,54,372354,Tamil Nadu,Urban,Laborer,138830724850,2091180164
C1028,Indali Buch,54,334209,Maharashtra,Rural,Farmer,743265387840,6274271657
C1029,Riya Khanna,61,248877,Tamil Nadu,Rural,Farmer,189186960119,3007384583
C1030,Rishi Choudhary,51,387115,Uttar Pradesh,Rural,Farmer,556522608174,+919074473715
C1031,Kiaan Ghosh,71,468233,Karnataka,Urban,Farmer,822461534064,02157551996
